"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"21044","South Sudan",2022-08-28,137,17823,0,138,0,1592.2,0,12.3,0,120,117
"21085","Spain",2022-08-28,137,13332976,18212,112454,326,285166.8,389.5,2405.2,7,129,129
"21226","Sri Lanka",2022-08-28,137,669749,716,16687,33,31277.7,33.4,779.3,1.5,126,117
"21358","Sudan",2022-08-28,137,63173,26,4961,0,1440.7,0.6,113.1,0,122,123
"21516","Summer Olympics 2020",2022-08-28,137,865,0,0,0,NA,NA,NA,NA,56,0
"21638","Suriname",2022-08-28,137,81022,15,1383,1,138027.3,25.6,2356,1.7,116,113
"21684","Sweden",2022-08-28,137,2564423,5480,19810,128,253928.4,542.6,1961.6,12.7,129,127
"21846","Switzerland",2022-08-28,137,4029657,17047,13966,13,465587.2,1969.6,1613.6,1.5,129,128
"22026","Syria",2022-08-28,137,56985,124,3163,3,3256.1,7.1,180.7,0.2,117,112
"22163","Taiwan",2022-08-28,137,5221585,178310,9844,210,219237.7,7486.7,413.3,8.8,127,77
"22303","Tajikistan",2022-08-28,137,17786,0,125,0,1864.8,0,13.1,0,120,120
"22380","Tanzania, United Republic of",2022-08-28,137,38712,258,841,0,648.1,4.3,14.1,0,123,122
"22480","Thailand",2022-08-28,137,4647685,11974,32248,193,66585.7,171.5,462,2.8,128,125
"22676","The Bahamas",2022-08-28,137,37044,61,823,0,94259.5,155.2,2094.1,0,118,122
"22844","The Gambia",2022-08-28,137,12311,73,371,3,5093.5,30.2,153.5,1.2,109,107
"22957","Timor-Leste",2022-08-28,137,23158,44,137,2,17570.6,33.4,103.9,1.5,80,67
"22989","Togo",2022-08-28,137,38419,52,282,0,4640.5,6.3,34.1,0,121,120
"23105","Tonga",2022-08-28,137,15235,1100,12,0,143726.4,10377.4,113.2,0,28,19
"23161","Trinidad and Tobago",2022-08-28,137,178687,1679,4132,32,127724.8,1200.1,2953.5,22.9,125,106
"23310","Tunisia",2022-08-28,137,1143167,1394,29233,24,96722.8,117.9,2473.4,2,126,125
"23515","Turkey",2022-08-28,137,16671848,0,100400,0,197676.6,0,1190.4,0,127,127
"23604","Uganda",2022-08-28,137,169396,0,3628,0,3703.4,0,79.3,0,120,106
"23745","UK",2022-08-28,137,23708629,33144,205414,0,349241.8,488.2,3025.9,0,129,129
"23881","Ukraine",2022-08-28,137,5327363,13424,116585,33,121812.8,306.9,2665.8,0.8,126,126
"23966","United Arab Emirates",2022-08-28,137,1013865,4089,2341,0,102514.2,413.4,236.7,0,127,125
"24148","Uruguay",2022-08-28,137,977305,2041,7438,9,281319.8,587.5,2141,2.6,127,123
"24208","USA",2022-08-28,137,94190979,654873,1043840,2570,284562.3,1978.5,3153.6,7.8,129,129
"24379","Uzbekistan",2022-08-28,137,243743,77,1637,0,7282.6,2.3,48.9,0,126,121
"24523","Vanuatu",2022-08-28,137,11784,14,14,0,38384.4,45.6,45.6,0,24,18
"24609","Venezuela",2022-08-28,137,542252,847,5796,8,19069.2,29.8,203.8,0.3,126,122
"24692","Vietnam",2022-08-28,137,11403302,19483,43112,7,117150.4,200.2,442.9,0.1,127,107
"24861","West Bank and Gaza",2022-08-28,137,698384,937,5694,3,145496.7,195.2,1186.2,0.6,126,112
"24977","Winter Olympics 2022",2022-08-28,137,535,0,0,0,NA,NA,NA,NA,30,0
"25010","Yemen",2022-08-28,137,11925,10,2155,1,399.8,0.3,72.3,0,119,119
"25167","Zambia",2022-08-28,137,332710,446,4016,0,18097.8,24.3,218.5,0,121,115
"25289","Zimbabwe",2022-08-28,137,256699,75,5593,1,17271,5,376.3,0.1,117,111
